id,course_id,place_id,order_number
1,1,1758,3
2,1,1759,0
3,1,1760,1
4,1,1761,4
5,1,1762,2
6,2,1763,3
7,2,1764,0
8,2,1765,1
9,2,1766,2
10,3,1767,3
11,3,1768,2
12,3,1769,1
13,3,1770,0
14,4,1771,4
15,4,1772,3
16,4,1773,1
17,4,1774,0
18,4,1775,2
19,5,1776,1
20,5,1777,0
21,6,1778,0
22,6,1779,1
23,6,1780,2
24,7,1781,0
25,7,1782,1
26,7,1783,2
27,7,1784,3
28,8,1785,1
29,8,1786,2
30,8,1787,3
31,8,1788,0
32,9,1789,2
33,9,1790,4
34,9,1791,3
35,9,1792,1
36,9,1793,0
37,10,1794,1
38,10,1795,0
39,10,1796,5
40,10,1797,4
41,10,1798,3
42,10,1799,2
43,11,1800,5
44,11,1801,6
45,11,1802,4
46,11,1803,3
47,11,1804,2
48,11,1805,1
49,11,1806,0
50,12,1807,1
51,12,1808,9
52,12,1809,8
53,12,1810,7
54,12,1811,5
55,12,1812,4
56,12,1813,3
57,12,1814,6
58,12,1815,2
59,12,1816,0
60,13,1817,0
61,13,1818,1
62,13,1819,2
63,13,1820,3
64,13,1821,4
65,14,1822,3
66,14,1823,2
67,14,1824,1
68,14,1825,0
69,15,1826,1
70,15,1827,2
71,15,1828,3
72,15,1829,0
73,16,1830,0
74,16,1831,1
75,16,1832,2
76,16,1833,6
77,16,1834,3
78,16,1835,4
79,16,1836,5
80,17,1837,0
81,17,1838,1
82,17,1839,2
83,17,1840,3
84,17,1841,6
85,17,1842,5
86,17,1843,4
87,18,1844,2
88,18,1845,4
89,18,1846,5
90,18,1847,6
91,18,1848,1
92,18,1849,0
93,18,1850,3
94,19,1851,5
95,19,1852,6
96,19,1853,2
97,19,1854,4
98,19,1855,3
99,19,1856,1
100,19,1857,0
101,20,1858,5
102,20,1859,4
103,20,1860,3
104,20,1861,2
105,20,1862,0
106,20,1863,1
107,20,1864,6
108,21,1865,3
109,21,1866,5
110,21,1867,6
111,21,1868,4
112,21,1869,0
113,21,1870,1
114,21,1871,2
115,22,1872,5
116,22,1873,2
117,22,1874,1
118,22,1875,0
119,22,1876,4
120,22,1877,3
121,23,1878,5
122,23,1879,6
123,23,1880,2
124,23,1881,1
125,23,1882,0
126,23,1883,3
127,23,1884,4
128,24,1885,6
129,24,1886,5
130,24,1887,4
131,24,1888,3
132,24,1889,2
133,24,1890,1
134,24,1891,0
135,25,1892,3
136,25,1893,2
137,25,1894,1
138,25,1895,0
139,25,1896,8
140,25,1897,7
141,25,1898,6
142,25,1899,4
143,25,1900,5
